period_id,metric_version,source_class,rule_version,entity_id,entity_name,entity_type,parent_category,signal_level,event_count,content_count,active_brand_count,likes_valid_count,likes_missing_count,likes_sum,likes_mean,likes_median,likes_p75,likes_p90,likes_max,top_content_id,sample_flag,snapshot_age_hours_min,snapshot_age_hours_median,snapshot_age_hours_max
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,ENT-PRODUCT-ELEMENT-茉莉,茉莉,product_element,茶与花香,trend_candidate,7,9,3,9,0,9285,1031.67,927,1022,1598,3730,xhs-6a61b9b8000000000a03a23a,sufficient_for_descriptive_stats,8.2,102.8,147
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,ENT-PRODUCT-ELEMENT-柠檬,柠檬,product_element,柑橘类,trend_candidate,6,10,4,10,0,5912,591.2,503.5,935.5,1061.8,1420,xhs-6a5f041e00000000010028cc,sufficient_for_descriptive_stats,27.9,122.55,152.2
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,ENT-PRODUCT-ELEMENT-柑橘,柑橘,product_element,柑橘类,cross_brand_signal,5,10,2,10,0,7488,748.8,608,943.5,1513.4,2354,xhs-6a62d580000000000100181a,sufficient_for_descriptive_stats,8.2,103.1,152.2
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,ENT-PRODUCT-ELEMENT-芒果,芒果,product_element,水果／热带水果,trend_candidate,4,4,4,4,0,1282,320.5,334.5,423.5,444.2,458,xhs-6a66f81e000000000101e7fc,small_sample,7.3,75.7,106.4
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,ENT-PRODUCT-ELEMENT-酸奶,酸奶,product_element,乳品与椰,trend_candidate,4,8,4,8,0,8036,1004.5,922,1450,1784.2,2354,xhs-6a62d580000000000100181a,sufficient_for_descriptive_stats,7.3,106.95,152.2
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,ENT-PRODUCT-ELEMENT-百香果,百香果,product_element,水果／热带水果,trend_candidate,3,3,3,3,0,692,230.67,155,276.5,349.4,398,xhs-6a672494000000000301db16,small_sample,4.2,27.9,106.4
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,ENT-PRODUCT-ELEMENT-糯米,糯米,product_element,谷物／豆类／坚果,trend_candidate,3,3,3,3,0,1952,650.67,257,898.5,1283.4,1540,xhs-6a61793b000000001303cc49,small_sample,76.7,106.4,107.5
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,ENT-PRODUCT-ELEMENT-苹果,苹果,product_element,水果／热带水果,cross_brand_signal,3,5,2,5,0,11673,2334.6,1311,1951,5480.2,7833,xhs-6a5ed2c500000000130267b8,sufficient_for_descriptive_stats,32.1,76.7,155.7
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,ENT-PRODUCT-ELEMENT-西瓜,西瓜,product_element,水果／热带水果,cross_brand_signal,3,4,2,4,0,7649,1912.25,974.5,2029.75,3843.7,5053,xhs-6a606392000000000503bacc,small_sample,99.8,116.45,127.1
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,ENT-PRODUCT-ELEMENT-菠萝,菠萝,product_element,水果／热带水果,cross_brand_signal,2,21,2,21,0,26382,1256.29,545,1229,3189,6568,xhs-6a6634d1000000001c011cfd,sufficient_for_descriptive_stats,5.4,75.5,124
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,ENT-PRODUCT-ELEMENT-椰,椰,product_element,乳品与椰,cross_brand_signal,2,8,2,8,0,10391,1298.88,494,936,2804.1,6568,xhs-6a6634d1000000001c011cfd,sufficient_for_descriptive_stats,21.2,75.35,97.9
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,ENT-PRODUCT-ELEMENT-抹茶,抹茶,product_element,茶与花香,single_brand_case,2,7,1,7,0,6440,920,895,1184.5,1793.6,2354,xhs-6a62d580000000000100181a,sufficient_for_descriptive_stats,8.2,82.7,152.2
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,ENT-PRODUCT-ELEMENT-芭乐,芭乐,product_element,水果／热带水果,single_brand_case,1,1,1,1,0,412,412,412,412,412,412,xhs-6a6346da000000000a038ee9,small_sample,74.7,74.7,74.7
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,ENT-PRODUCT-ELEMENT-黑巧,黑巧,product_element,可可／甜品风味,single_brand_case,1,1,1,1,0,363,363,363,363,363,363,xhs-6a65cefe0000000010024134,small_sample,28.5,28.5,28.5
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,ENT-PRODUCT-ELEMENT-黄桃,黄桃,product_element,核果类,single_brand_case,1,5,1,5,0,13339,2667.8,2331,3756,5262.6,6267,xhs-6a643377000000000100ddb0,sufficient_for_descriptive_stats,3.7,52.1,58
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,ENT-PRODUCT-ELEMENT-绿豆,绿豆,product_element,谷物／豆类／坚果,single_brand_case,1,3,1,3,0,231,77,52,98,125.6,144,xhs-6a5edbe4000000000100fdec,small_sample,103.4,130.5,155
