period_id,metric_version,source_class,rule_version,category_level,category_code,category_name,parent_category_code,parent_category_name,event_count,content_count,active_brand_count,likes_valid_count,likes_missing_count,likes_sum,likes_mean,likes_median,likes_p75,likes_p90,likes_max,top_content_id,sample_flag,snapshot_age_hours_min,snapshot_age_hours_median,snapshot_age_hours_max
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,1,tea,茶饮,,,17,46,7,46,0,72983,1586.59,688,1353,4844,11000,xhs-6a61909f0000000001002bb5,sufficient_for_descriptive_stats,3.7,77.55,155.7
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,1,coffee,咖啡,,,12,41,4,41,0,45818,1117.51,612,1229,2834,6568,xhs-6a6634d1000000001c011cfd,sufficient_for_descriptive_stats,5.4,77.1,148
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,1,merch_packaging,周边包材,,,9,54,7,54,0,60611,1122.43,627,1182,2356.1,6568,xhs-6a6634d1000000001c011cfd,sufficient_for_descriptive_stats,4,75.55,152.2
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,1,frozen_dessert,冰品甜品,,,5,12,3,12,0,8623,718.58,417.5,1066.75,1528,2354,xhs-6a62d580000000000100181a,sufficient_for_descriptive_stats,8.2,105.45,155
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,1,non_product,非产品内容,,,3,3,3,3,0,39623,13207.67,1336,19168,29867.2,37000,xhs-6a66d7e7000000001101fb64,small_sample,9.6,57.7,97.9
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,1,other_beverage,其他饮品,,,3,11,3,11,0,6760,614.55,265,922,1420,2354,xhs-6a62d580000000000100181a,sufficient_for_descriptive_stats,11.6,107.7,155
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,2,fruit_tea,果茶／果饮,tea,茶饮,12,26,4,26,0,51453,1978.96,911,2236,5660,11000,xhs-6a61909f0000000001002bb5,sufficient_for_descriptive_stats,3.7,102.75,155.7
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,2,flavored_specialty,风味特调咖啡,coffee,咖啡,9,36,3,36,0,43273,1202.03,698,1255.25,3011.5,6568,xhs-6a6634d1000000001c011cfd,sufficient_for_descriptive_stats,5.4,75.5,147.8
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,2,other_merchandise,其他周边,merch_packaging,周边包材,8,53,7,53,0,60379,1139.23,642,1191,2356.4,6568,xhs-6a6634d1000000001c011cfd,sufficient_for_descriptive_stats,4,75.6,152.2
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,2,tea_specialty,茶基底特调,tea,茶饮,5,17,5,17,0,29517,1736.29,518,1155,4760.4,11000,xhs-6a61909f0000000001002bb5,sufficient_for_descriptive_stats,3.7,35.2,147
