period_id,metric_version,source_class,rule_version,tag_id,tag_name,tag_dimension,theme_id,theme_label,display_order,event_count,content_count,active_brand_count,likes_valid_count,likes_missing_count,likes_sum,likes_mean,likes_median,likes_p75,likes_p90,likes_max,top_content_id,sample_flag,snapshot_age_hours_min,snapshot_age_hours_median,snapshot_age_hours_max,pending_event_count,review_status,metric_scope
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,product-new-launch,新品上市,业务动作,product_action,产品动作,1,5,7,4,7,0,12687,1812.43,729,1631,4303.8,7833,xhs-6a5ed2c500000000130267b8,sufficient_for_descriptive_stats,25.8,131.7,155.7,0,approved,品牌事实层；标签间可重叠
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,product-product-bundle,联名产品或套餐,业务动作,product_action,产品动作,2,5,39,4,39,0,49763,1275.97,754,1218,3380,6568,xhs-6a6634d1000000001c011cfd,sufficient_for_descriptive_stats,4,76.5,130.7,0,approved,品牌事实层；标签间可重叠
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,product-lemon,柠檬,原料/产品元素,product_action,产品动作,3,5,18,4,18,0,19166,1064.78,790,1068.5,1700.2,6568,xhs-6a6634d1000000001c011cfd,sufficient_for_descriptive_stats,11.6,102.15,152.2,0,approved,品牌事实层；标签间可重叠
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,product-jasmine,茉莉,原料/产品元素,product_action,产品动作,4,3,5,2,5,0,3429,685.8,647,1022,1022,1022,xhs-6a5f4da1000000000f0303c1,sufficient_for_descriptive_stats,25.8,117.5,147,0,approved,品牌事实层；标签间可重叠
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,product-yogurt,酸奶,原料/产品元素,product_action,产品动作,5,3,14,3,14,0,30868,2204.86,922,2348.25,5513.7,11000,xhs-6a61909f0000000001002bb5,sufficient_for_descriptive_stats,3.7,70.35,152.2,0,approved,品牌事实层；标签间可重叠
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,product-passion-fruit,百香果,原料/产品元素,product_action,产品动作,6,3,10,3,10,0,11229,1122.9,471.5,1025.75,1728.7,6568,xhs-6a6634d1000000001c011cfd,sufficient_for_descriptive_stats,4.2,75.15,127.6,0,approved,品牌事实层；标签间可重叠
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,product-series-launch,系列上新,业务动作,product_action,产品动作,7,3,10,3,10,0,7829,782.9,659,1003.75,1513.4,2354,xhs-6a62d580000000000100181a,sufficient_for_descriptive_stats,11.6,112.6,152.2,0,approved,品牌事实层；标签间可重叠
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,product-pineapple,菠萝,原料/产品元素,product_action,产品动作,8,2,25,2,25,0,29178,1167.12,545,1207,2856.2,6568,xhs-6a6634d1000000001c011cfd,sufficient_for_descriptive_stats,5.4,75.5,124,0,approved,品牌事实层；标签间可重叠
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,collaboration-product-bundle,联名产品或套餐,业务动作,collaboration,联名合作,101,5,39,4,39,0,49763,1275.97,754,1218,3380,6568,xhs-6a6634d1000000001c011cfd,sufficient_for_descriptive_stats,4,76.5,130.7,0,approved,品牌事实层；标签间可重叠
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,collaboration-offline-event,联名线下活动,业务动作,collaboration,联名合作,102,2,2,2,2,0,2352,1176,1176,1231.5,1264.8,1287,xhs-6a6434730000000001032781,small_sample,57.7,77.05,96.4,0,approved,品牌事实层；标签间可重叠
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,collaboration-duolingo,多邻国,联名领域/IP,collaboration,联名合作,103,1,2,1,2,0,4632,2316,2316,2575,2730.4,2834,xhs-6a632195000000000f02bdfd,small_sample,77.2,112.5,147.8,0,approved,品牌事实层；标签间可重叠
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,collaboration-honor-of-kings,王者荣耀,联名领域/IP,collaboration,联名合作,104,1,9,1,9,0,16026,1780.67,1001,1367,4852.4,5722,xhs-6a620670000000001101feb4,sufficient_for_descriptive_stats,4,78.4,125.5,0,approved,品牌事实层；标签间可重叠
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,collaboration-crocs,Crocs,联名领域/IP,collaboration,联名合作,105,1,7,1,7,0,10608,1515.43,851,1137.5,3341.8,6568,xhs-6a6634d1000000001c011cfd,sufficient_for_descriptive_stats,21.2,75,123.2,0,approved,品牌事实层；标签间可重叠
