quality_report_id,period_id,run_id,dataset_version,table_name,field_name,check_id,quality_dimension,segment_dimension,segment_value,numerator,denominator,actual_value,threshold_operator,threshold_value,target_value,severity,blocks_release,affected_count,affected_sample_ids,metric_impact,dashboard_impact,status,detected_at,checked_at,rule_version,model_version,evidence_path,owner,resolution_status,resolution_note,resolved_at
QUALITY-2026-W30-DUPLICATE_BRAND_ID,2026-W30,RUN-2026W30-XHS-OFFICIAL-V1.1,V1.2,dim_brands,brand_id,duplicate_brand_id,uniqueness,source_class,brand,0,,0,=,0,0,error,true,0,,可能导致正式指标错误,阻止发布,passed,2026-08-05T03:26:09.000Z,2026-08-05T03:26:09.000Z,bi-tag-rule-v1.2,not_applicable,02_数据清洗/校验记录/2026-W30/V1.2/data_quality_report.json,茶饮热点雷达数据流程,resolved_or_not_applicable,已满足阈值,2026-08-05T03:26:09.000Z
QUALITY-2026-W30-DUPLICATE_ACCOUNT_KEY,2026-W30,RUN-2026W30-XHS-OFFICIAL-V1.1,V1.2,dim_accounts,account_key,duplicate_account_key,uniqueness,source_class,brand,0,,0,=,0,0,error,true,0,,可能导致正式指标错误,阻止发布,passed,2026-08-05T03:26:09.000Z,2026-08-05T03:26:09.000Z,bi-tag-rule-v1.2,not_applicable,02_数据清洗/校验记录/2026-W30/V1.2/data_quality_report.json,茶饮热点雷达数据流程,resolved_or_not_applicable,已满足阈值,2026-08-05T03:26:09.000Z
QUALITY-2026-W30-DUPLICATE_CONTENT_ID,2026-W30,RUN-2026W30-XHS-OFFICIAL-V1.1,V1.2,fact_contents,content_id,duplicate_content_id,uniqueness,source_class,brand,0,,0,=,0,0,error,true,0,,可能导致正式指标错误,阻止发布,passed,2026-08-05T03:26:09.000Z,2026-08-05T03:26:09.000Z,bi-tag-rule-v1.2,not_applicable,02_数据清洗/校验记录/2026-W30/V1.2/data_quality_report.json,茶饮热点雷达数据流程,resolved_or_not_applicable,已满足阈值,2026-08-05T03:26:09.000Z
QUALITY-2026-W30-DUPLICATE_EVENT_ID,2026-W30,RUN-2026W30-XHS-OFFICIAL-V1.1,V1.2,fact_events,event_id,duplicate_event_id,uniqueness,source_class,brand,0,,0,=,0,0,error,true,0,,可能导致正式指标错误,阻止发布,passed,2026-08-05T03:26:09.000Z,2026-08-05T03:26:09.000Z,bi-tag-rule-v1.2,not_applicable,02_数据清洗/校验记录/2026-W30/V1.2/data_quality_report.json,茶饮热点雷达数据流程,resolved_or_not_applicable,已满足阈值,2026-08-05T03:26:09.000Z
QUALITY-2026-W30-DUPLICATE_ENTITY_ID,2026-W30,RUN-2026W30-XHS-OFFICIAL-V1.1,V1.2,dim_entities,entity_id,duplicate_entity_id,uniqueness,source_class,brand,0,,0,=,0,0,error,true,0,,可能导致正式指标错误,阻止发布,passed,2026-08-05T03:26:09.000Z,2026-08-05T03:26:09.000Z,bi-tag-rule-v1.2,not_applicable,02_数据清洗/校验记录/2026-W30/V1.2/data_quality_report.json,茶饮热点雷达数据流程,resolved_or_not_applicable,已满足阈值,2026-08-05T03:26:09.000Z
QUALITY-2026-W30-ORPHAN_EVENT_CONTENT,2026-W30,RUN-2026W30-XHS-OFFICIAL-V1.1,V1.2,fact_events,event_id,orphan_event_content,referential_integrity,source_class,brand,0,,0,=,0,0,error,true,0,,可能导致正式指标错误,阻止发布,passed,2026-08-05T03:26:09.000Z,2026-08-05T03:26:09.000Z,bi-tag-rule-v1.2,not_applicable,02_数据清洗/校验记录/2026-W30/V1.2/data_quality_report.json,茶饮热点雷达数据流程,resolved_or_not_applicable,已满足阈值,2026-08-05T03:26:09.000Z
QUALITY-2026-W30-ORPHAN_CONTENT_ENTITY,2026-W30,RUN-2026W30-XHS-OFFICIAL-V1.1,V1.2,bridge_content_entity,relation_id,orphan_content_entity,referential_integrity,source_class,brand,0,,0,=,0,0,error,true,0,,可能导致正式指标错误,阻止发布,passed,2026-08-05T03:26:09.000Z,2026-08-05T03:26:09.000Z,bi-tag-rule-v1.2,not_applicable,02_数据清洗/校验记录/2026-W30/V1.2/data_quality_report.json,茶饮热点雷达数据流程,resolved_or_not_applicable,已满足阈值,2026-08-05T03:26:09.000Z
QUALITY-2026-W30-INVALID_LIKES,2026-W30,RUN-2026W30-XHS-OFFICIAL-V1.1,V1.2,fact_engagement_snapshots,likes,invalid_likes,consistency,source_class,brand,0,,0,=,0,0,error,true,0,,可能导致正式指标错误,阻止发布,passed,2026-08-05T03:26:09.000Z,2026-08-05T03:26:09.000Z,bi-tag-rule-v1.2,not_applicable,02_数据清洗/校验记录/2026-W30/V1.2/data_quality_report.json,茶饮热点雷达数据流程,resolved_or_not_applicable,已满足阈值,2026-08-05T03:26:09.000Z
QUALITY-2026-W30-SOURCE_LAYER_CONTAMINATION,2026-W30,RUN-2026W30-XHS-OFFICIAL-V1.1,V1.2,bi_dataset,,source_layer_contamination,consistency,source_class,brand,0,,0,=,0,0,error,true,0,,可能导致正式指标错误,阻止发布,passed,2026-08-05T03:26:09.000Z,2026-08-05T03:26:09.000Z,bi-tag-rule-v1.2,not_applicable,02_数据清洗/校验记录/2026-W30/V1.2/data_quality_report.json,茶饮热点雷达数据流程,resolved_or_not_applicable,已满足阈值,2026-08-05T03:26:09.000Z
QUALITY-2026-W30-V1_1_ACCESS_URLS_WITH_EPHEMERAL_PARAMETERS,2026-W30,RUN-2026W30-XHS-OFFICIAL-V1.1,V1.2,fact_contents,canonical_url,v1_1_access_urls_with_ephemeral_parameters,privacy_and_stability,source_class,brand,94,,94,=,0,0,info,false,94,,已披露，不改变当前正式计数,页面显示边界或禁用对应指标,disclosed,2026-08-05T03:26:09.000Z,2026-08-05T03:26:09.000Z,bi-tag-rule-v1.2,not_applicable,02_数据清洗/校验记录/2026-W30/V1.2/data_quality_report.json,茶饮热点雷达数据流程,accepted_limitation,已在页面与质量报告披露；未用于不适用指标,
